User_ID,Age,Gender,Country,Student_Working_Status,Daily_Social_Media_Hours,Screen_Time_Hours,Night_Scrolling_Frequency,Online_Gaming_Hours,Content_Type_Preference,Exercise_Frequency_per_Week,Daily_Sleep_Hours,Caffeine_Intake_Cups,Study_Work_Hours_per_Day,Overthinking_Score,Anxiety_Score,Mood_Stability_Score,Social_Comparison_Index,Sleep_Quality_Score,Motivation_Level,Emotional_Fatigue_Score,Wellbeing_Index,Burnout_Risk
U00018,23,Male,India,Student,3.31,5.94,3.6,2.57,Educational,1.72,7.92,1.28,2.8,5.45,4.88,5.31,3.44,8.16,5.55,5.27,4.65,Medium
U00019,19,Female,India,Student,4.02,8.53,2.57,1.88,Entertainment,2.69,6.59,0.73,5.28,3.33,2.74,7.57,5.21,7.26,5.68,5.92,5.39,Medium
U00020,22,Non-binary,USA,Student,2.97,4.97,3.88,1.22,Lifestyle,4.25,4.98,0.84,6.91,6.55,7.23,1.94,4.09,4.08,5.05,7.55,1.23,High
U00021,18,Female,Australia,Student,3.27,4.2,4.14,1.36,Lifestyle,2.98,7.83,1.27,1.87,5.33,3.79,5.53,2.72,7.8,7.45,3.13,5.77,Medium
U00022,23,Male,India,Working,0.5,2.85,1.37,2.84,News,0,7.93,0.74,2.52,3.33,3.76,4.88,1.24,8.06,5.66,6.16,4.55,Medium
U00023,26,Male,USA,Working,2.75,6.47,2.14,3.29,News,2.83,6.87,2.09,5.11,5.13,3.33,4.97,6.19,6.3,3.33,4.48,3.56,High
U00024,18,Male,Australia,Both,5.22,10.5,2.06,0.39,News,0.21,7.25,3.14,6.39,5.03,4.23,5.57,6.24,8.09,5.53,6.59,4.59,Medium
U00025,20,Female,India,Student,4.94,7.23,4.82,2.12,Entertainment,2.69,8.23,3.1,5.5,6.14,3.07,6.37,5.38,9.46,6.17,5.36,5.93,Medium
U00026,24,Female,Australia,Student,5.1,6.93,2.83,1.74,Lifestyle,5.07,7.27,0.71,3.37,5.62,4.29,5.66,3.89,6.72,4.82,4.32,4.3,Medium
U00027,21,Female,Canada,Student,4.64,7.67,3.42,3.12,Entertainment,3.32,7.48,1.36,4.83,4.97,4.54,5.86,3.98,7.28,6.97,7.33,4.73,Medium
U00028,26,Male,USA,Student,3.27,6.26,2.05,3.67,Educational,3.1,8.43,3.09,6.11,4.39,3.36,6.11,3.75,8.63,6.34,4.81,5.66,Medium
U00029,20,Female,Australia,Student,2.1,6.99,3.07,2.04,Entertainment,1.64,6.98,1.98,10.16,3.92,3.95,6.49,3.85,7.49,4.73,5.24,4.7,Medium
U00030,22,Male,Australia,Working,3.52,6.78,2.32,1.25,Gaming,2.86,5.19,2.78,4.05,6.19,5.15,4.48,5.36,4.91,4.16,4.65,2.88,High
U00031,20,Male,Canada,Student,0.5,5.61,0.84,0,Lifestyle,2.19,9.77,2.13,5.65,2.37,1.49,8.18,1.79,9.41,6.05,3.28,7.09,Low
U00032,24,Female,India,Student,5.71,10.09,2.28,0,Entertainment,4.13,8.04,2.52,3.82,3.77,4.36,4.62,6.3,8.42,3.95,7.3,3.72,High
U00033,22,Male,India,Student,4.31,8.23,3.28,1.82,Lifestyle,2.58,7.89,1.01,5.22,4.23,2.27,5.07,6.33,6.3,5.84,4.02,4.69,Medium
U00034,26,Female,UK,Working,5.28,6.82,7,3.29,News,3.57,6.01,0.86,6.46,8.18,8.08,3.81,5.74,5.46,4.87,7.21,2.16,High
U00035,24,Female,UK,Student,3.23,5.84,1.45,4.04,Entertainment,2.83,6.76,0,3.08,4.11,4.78,5.21,2.95,8.15,6.38,5.82,4.81,Medium
U00036,19,Non-binary,India,Student,1.59,4.85,2.88,0,Lifestyle,3.12,4.82,0.32,9,4.22,5.39,3.48,2.71,3.31,4.4,5.88,1.85,High
U00037,21,Female,Pakistan,Both,4.28,4.66,3.3,0.83,Entertainment,2.47,6.07,1.13,1.84,4.88,5.82,6.21,4.21,5.92,4.47,5.81,3.59,High
U00038,26,Female,Pakistan,Working,4.26,6.59,3.99,1.85,Entertainment,2.42,6.13,0,4.53,5.63,5.85,2.8,5.16,5.33,3.16,6.12,1.77,High
U00039,19,Female,Australia,Student,3.79,6.47,2.55,2.81,Entertainment,2.97,5.99,2.39,6.36,4.53,3.95,6.75,3.64,5.25,5.32,7.07,3.94,High
U00040,26,Male,India,Student,4.43,6.64,2.32,0.9,Gaming,2.1,4.74,1.55,4.46,3.75,4.01,7.52,7.04,5.25,3.96,4.22,4.21,Medium
U00041,22,Male,UK,Student,3.28,8.4,3.9,1.05,Gaming,5.14,4.88,1.21,8.35,5.11,5.17,7.35,2.44,4.27,3.76,3.76,3.64,High
U00042,19,Female,Australia,Working,4.3,7.79,3.86,1.75,Entertainment,0.39,7.31,1.37,5.48,5.41,4.51,6.17,4.04,7.74,5.48,6.58,4.61,Medium
U00043,21,Female,USA,Working,4.7,7.5,4.05,0,Entertainment,4.25,6.94,2.63,7.09,4.53,5.95,5.34,5.04,6.71,3.71,6.06,3.25,High
U00044,24,Female,UK,Student,6.51,7.67,3.82,0.91,Lifestyle,5.48,8,0.52,9.19,4.87,3.66,7.24,4.22,9.14,7.23,1.48,7.01,Low
U00045,25,Male,UK,Working,5.15,7.62,1.1,0.84,News,2.37,5.46,0.29,5.82,4.25,6.4,3.7,5.23,5.94,5.15,5.3,2.98,High
U00046,20,Male,UK,Student,2.14,6.74,3.88,2.04,Educational,2.67,7.06,1.03,2.8,5,3.2,4.95,1.68,7.71,4.63,3.93,4.57,Medium
U00047,18,Male,Pakistan,Working,3.42,5.81,3.18,2.16,News,1.64,6.42,2.99,5.23,3,3.98,7.39,4.62,5.17,4.24,4.55,4.18,Medium
U00048,21,Female,Canada,Student,2.72,5.32,0.32,0.53,Lifestyle,4.65,6.54,0.73,6.56,3.09,2.17,5.86,4.29,7.27,6.83,3.77,5.66,Medium
U00049,19,Female,Canada,Student,6.06,7.76,3.73,1.48,Gaming,4.22,5.65,1.78,5.45,3.64,1.96,8.07,5.62,5.02,5.24,4.59,5.01,Medium
U00050,25,Female,Pakistan,Working,3.26,6.43,2.48,1.6,Lifestyle,1.38,4.31,0.92,5.25,5.58,8.08,4.08,3.19,4.54,3.42,7.85,1.36,High
U00051,21,Male,India,Student,3.6,6.92,4.22,1.07,Lifestyle,0.9,6.66,0,6.05,5.94,5.96,2.96,3.71,5.13,4.9,6.52,2.25,High
U00052,19,Male,India,Both,3.83,7.02,2.72,3.03,Educational,2.59,5.44,0.41,8.03,4.21,5.23,6.46,6.29,5.41,3.94,6.89,3.25,High
U00053,23,Female,Pakistan,Student,4.6,6.43,3.69,1.23,News,4.03,5.45,0.41,8.19,5.56,7.35,2.85,3.66,5.97,5.09,6.87,2.27,High
U00054,23,Female,Pakistan,Student,2.22,5.73,3.58,4.71,Gaming,3.9,6.04,1.76,5.94,3.93,5.59,4.09,3.56,5.58,5.36,4.97,3.25,High
U00055,21,Female,India,Working,3.98,6.57,1.72,0.29,Lifestyle,2.97,7.24,2.29,7.34,4.89,5.86,3.18,3.36,6.84,4.37,4.04,3.15,High
U00056,23,Female,Canada,Student,5.41,8.65,4.6,2.63,Educational,3.5,4.51,0,5.93,5.46,6.6,2.67,5.03,5.24,4.64,6.23,2.05,High
U00057,19,Male,Australia,Student,3.51,7.3,2.02,3.14,Lifestyle,3.03,6.3,1.4,6.38,6.42,6.88,2.62,1.52,3.2,4.36,6.51,1.16,High
U00058,19,Female,Pakistan,Student,6.74,10.16,1.9,0,Lifestyle,2.18,4.66,1.32,9.36,4.83,4.68,6.11,6.13,4.35,4.65,5.42,3.36,High
U00059,21,Female,Australia,Both,2.67,6.33,4.21,2.26,News,3.18,7.6,3.56,3.98,4.88,3.2,7.62,4.45,9.39,5.6,3.45,6.43,Medium
U00060,25,Female,Australia,Working,3.24,6.93,3.21,3.58,News,1.73,8.37,1.47,7.47,4.74,4.15,3.47,2.41,9.42,6.9,5.46,5,Medium
U00061,24,Female,USA,Student,5.16,9.04,5.62,2.39,Educational,4.62,7.42,2.49,5.11,5.35,5.82,4.62,6.06,9.35,5.76,5.34,4.72,Medium
U00062,26,Female,Canada,Student,4.05,8.02,1.65,0,Lifestyle,2.26,7.77,0.02,7.4,2.59,2.86,6.37,6.51,7.25,5.96,3.74,5.43,Medium
U00063,25,Female,Australia,Student,3.66,7.86,3.81,2.75,Lifestyle,2.32,9.75,1.08,8.07,4.44,4.56,4.17,4.62,9.67,8.49,6.06,5.67,Medium
U00064,22,Female,Canada,Student,2.32,5.76,3.53,2.22,Lifestyle,0.24,3.92,0,8.83,5.79,3.11,6.59,4.01,4.92,4.01,5.53,3.73,High
U00065,19,Female,Canada,Both,3.13,6.97,4.52,2.27,Entertainment,2.27,6.77,1.02,6.79,4.26,5.15,6.65,4.07,5.46,5.54,6.48,3.94,High
U00066,22,Female,USA,Working,6.75,9.92,4.75,1.1,Entertainment,3.12,6.35,1.42,6.33,5.55,6.48,4.13,6.53,6.18,4.41,5.46,2.91,High
U00067,25,Male,India,Student,4.48,8.17,3.9,0.04,Lifestyle,0.58,7.01,0,5.5,5.31,4.73,5.63,5.15,8.2,4.38,6.45,4.21,Medium
U00068,26,Non-binary,Canada,Student,4.86,7.41,3.63,3.98,News,4.69,5.85,2.35,1,7.01,6.56,4.53,3.3,5.71,3.21,6.06,2.38,High
U00069,26,Female,Australia,Both,3.06,4.3,3,3.37,Educational,1.41,6.84,2.05,7.37,6.29,4.42,3.39,4.49,7.71,5.93,3.96,4.28,Medium
U00070,18,Male,India,Student,4.29,8.74,3.03,3.38,News,3.12,7.28,2.37,6.72,5.05,3.4,4.61,5.09,7.03,6.45,3.9,4.81,Medium
U00071,26,Female,India,Both,3.59,6.78,4.08,1.15,Educational,4.34,7.12,1.69,4.23,5.33,5.94,4.3,4.04,7,5.24,5.53,3.6,High
U00072,24,Male,UK,Student,2.13,5.3,3.71,1.88,Gaming,0.31,4.69,0.4,7.99,2.11,3.71,6.27,2.42,4.1,4.33,5.34,3.39,High
U00073,26,Male,Australia,Working,2.9,6.8,3.7,2.45,Lifestyle,1.24,7.57,2.4,6.04,4.34,6.39,4.27,4.37,7.86,5.11,7.09,3.5,High
U00074,25,Male,Australia,Working,3.22,5.56,2.91,1.86,Lifestyle,3.37,5.73,0.56,7.93,5.54,4.58,6.22,3.42,5.07,3.6,6.74,3.08,High
U00075,18,Female,Canada,Working,7.14,10.04,1.35,1.69,Entertainment,3.88,5.91,0,5.08,5.16,3.4,6.22,6.09,6.18,5.4,5.16,4.5,Medium
U00076,25,Female,Australia,Student,6.81,9.22,2.24,2.73,Gaming,0,5.81,1.01,4.37,5.96,4.6,5.97,5.47,6.17,2.48,7.71,2.82,High
U00077,25,Female,UK,Student,1.49,4.3,2.32,0.42,Entertainment,3.27,7.24,1.26,4.95,4.56,3.67,5.62,3.23,7.08,6.88,3.98,5.25,Medium
U00078,20,Female,Canada,Student,2.76,5.37,3.29,3.77,News,1.87,4.66,1.64,9.13,4.98,4.55,5.08,2.85,4.2,4.24,5.27,2.87,High
U00079,18,Male,Pakistan,Both,3.73,6.17,4.32,1.58,Entertainment,3.14,7.98,0.56,2.43,4.57,3.85,5.21,1.64,8.08,5.88,4.4,5.01,Medium
U00080,25,Male,Australia,Student,4.04,7.43,2.91,0.33,Educational,2.91,9.15,3.04,5.01,5.3,2.96,3.07,4.85,8.42,8.62,5.39,5.31,Medium
U00081,20,Male,Australia,Both,3.8,4.94,1.96,0.21,Lifestyle,4.29,6.36,1.98,6.03,6.15,6.75,4.6,2.82,6.55,5.84,8.39,3.14,High
U00082,20,Female,USA,Working,6.77,11.09,0.85,0,News,1.96,5.11,2.17,6.73,3.18,4.16,5.5,5.01,4.84,5.41,6.51,3.47,High
U00083,18,Non-binary,Pakistan,Student,3.29,5.58,2.48,2.32,Gaming,5.61,4.44,2.58,6.52,4.27,4.92,7.14,4.27,4.54,5.78,3.98,4.34,Medium
U00084,22,Female,Pakistan,Both,6.72,10.21,1.83,0.36,Lifestyle,4.16,6.33,1.79,7.98,4.07,5,4.99,5.91,6.38,5.58,7.9,3.5,High
U00085,24,Female,UK,Working,5.44,8.99,3.99,1.66,News,2.38,5.91,1.81,6.3,7.35,6.18,4.61,4.4,6.16,3.74,7.85,2.5,High
U00086,26,Non-binary,Pakistan,Student,3.91,6.61,3.83,1.87,Gaming,1.77,7.48,1.32,3.36,5.56,3.05,6.51,4.26,6.69,4.74,6.59,4.38,Medium
U00087,24,Male,USA,Student,3.03,6.47,2.07,0,Educational,4.13,7.79,1.35,8.04,3.88,2.91,6.47,5.56,6.25,5.58,3.45,5.04,Medium
U00088,26,Female,UK,Working,3.01,4.93,3.41,1.11,Educational,3.06,4.84,2.11,6.66,4.79,4.25,5.54,3.53,4.92,4.05,2.98,3.63,High
U00089,25,Female,Pakistan,Working,6.91,9.37,3.12,4.54,Gaming,4.37,6.24,0.26,5.57,6.89,6.56,4.77,7.33,6.39,4.26,8.06,2.7,High
U00090,19,Female,UK,Working,5.08,7.84,1.77,2.52,Lifestyle,3.47,5.53,0.48,10.24,4.76,7.2,3.35,5.32,5.67,1.56,7.54,1.07,High
U00091,18,Male,Pakistan,Working,4.44,7.9,3.46,1.93,Educational,0,6.81,3.6,3.99,6.01,4.92,5.58,5.54,5.97,4.57,5.98,3.55,High
U00092,24,Female,Pakistan,Student,0.71,3.37,3.09,0.94,News,2.42,3.54,1.25,6.57,4.52,6.61,2.18,2.14,3.3,3.69,6.23,1,High
U00093,24,Female,India,Working,3.26,6.1,3.99,0,Lifestyle,3.08,4.74,4.79,6.37,7.35,6.67,4.51,4.51,4.25,4.17,5.96,2.21,High
U00094,25,Male,Pakistan,Student,3.45,7.27,2.88,1.65,Gaming,0.32,5.88,2.3,2.76,6.99,6.04,3.68,6.01,6.79,6.68,7.98,3.38,High
U00095,22,Female,Australia,Student,4.33,7.72,4.74,1.83,Educational,4.45,7.26,2.05,3.73,6.99,6.36,4.81,4.32,6.83,5.36,5.4,3.71,High
U00096,20,Male,Pakistan,Student,3.79,9.13,2.31,0.03,Educational,2.42,5.68,0.69,6.31,3.75,3.59,6.03,4.44,4.8,5.89,6.7,3.86,High
U00097,25,Female,Australia,Student,3.42,5.52,1.33,0.17,Entertainment,0.99,7.68,1.21,6.43,3.33,2.5,5.65,3.35,6.73,6.43,3.31,5.3,Medium
U00098,23,Female,Canada,Student,4.48,6.2,3.25,0.7,Entertainment,2.04,5.08,0,6.86,5.17,6.1,1.84,3.32,5.48,2.65,6.8,1.17,High
U00099,20,Female,India,Student,5.35,10.26,4.44,1.83,Lifestyle,2.34,6.29,1.59,5.78,6,5.32,4.97,4.12,5.6,4.86,8.71,2.8,High
U00100,18,Male,USA,Student,3.1,6.37,1.67,0,Lifestyle,3.48,5.59,0.69,5.24,4.43,5.23,4.57,4.22,5.44,4.48,4.97,3.13,High
U00101,20,Male,UK,Student,2.51,6.85,2.69,0,Gaming,4.4,7.84,1.03,8,4.75,4.84,5.87,4.44,8.1,7.02,5.63,5.25,Medium
U00102,22,Male,UK,Working,3.16,5.15,3.71,2.58,Gaming,0.56,8.3,0.93,1,6.31,3.57,6.27,3.74,7.97,5.23,6.37,4.83,Medium
U00103,20,Male,Canada,Student,2.56,5.07,0.35,0.7,Gaming,3.78,7.54,0.39,8.29,4.42,2.95,6.77,3.21,7.97,4.67,2.53,5.56,Medium
U00104,18,Male,Pakistan,Student,3.6,6.73,5.64,3.39,Entertainment,1.26,8.14,0,4.1,5.53,6.42,2.16,5.08,9.56,4.85,7.25,3.24,High
U00105,22,Female,USA,Working,7.01,10.01,3.33,0,Educational,3.38,6.34,1.37,4.78,6.13,5.87,4.21,5.63,6.76,5.51,7.49,3.27,High
U00106,24,Male,Canada,Student,3.49,6.41,2.5,1.23,Educational,0.66,5.42,1.34,6.12,6.68,7.34,2.73,4.15,5.58,2.31,6.76,1.19,High
U00107,24,Female,Canada,Student,2.35,3.77,4.02,3.19,Gaming,4.43,5.96,0,5.54,6.86,8.02,3.34,5.87,5.72,3.83,5.81,1.99,High
U00108,26,Male,UK,Both,3.34,6.22,3.05,3.32,Entertainment,4.03,5.08,0.92,4.86,4.78,6.04,4.67,6.84,4.53,3.61,5.2,2.4,High
U00109,20,Female,Australia,Student,6.34,9.68,2.38,1.6,Gaming,3.92,6.94,1.12,8.59,5.28,1.93,4.58,6.98,5.8,5.4,3.52,4.35,Medium
U00110,24,Female,Australia,Student,3.58,6.25,3.93,0,News,4,5.95,1.89,8.65,4.66,6.09,3.42,4.52,6.52,4.92,4.99,3.1,High
U00111,18,Female,Pakistan,Working,2.79,6.77,3.46,0,Lifestyle,2.51,5.3,0.83,11.3,3.8,3.61,4.7,5.09,5.81,6,4.22,4.2,Medium
U00112,21,Non-binary,Pakistan,Working,1.4,5.39,0.69,1.35,Entertainment,3.34,6.54,1.88,6.93,3.42,4.65,5.99,1,6.71,4.78,5.8,4.09,Medium
U00113,21,Male,Canada,Working,3.5,6.72,2.57,2.85,Educational,2.57,4.04,2.41,5.38,2.91,4.02,6.07,3.59,4.65,4.08,6,3.26,High
U00114,22,Male,Pakistan,Student,1.83,4.1,2.35,0.31,News,5.84,6.8,0.62,6.47,3.26,3.06,5.89,3.28,5.74,6.28,2.46,5.05,Medium
U00115,24,Male,Australia,Working,4.32,7.68,2.58,2.63,Lifestyle,5.73,4.46,0.35,9.83,4.4,6.31,2.14,3.06,4.55,4.82,7.68,1.51,High
U00116,24,Male,USA,Working,3.37,6.87,3.39,0,Lifestyle,1.89,6.51,0.26,6.47,5.55,5.2,3.45,3.76,7.48,4.2,5.67,3.23,High
U00117,21,Female,UK,Student,0.86,3.96,0.34,1.54,Lifestyle,6.4,6.76,1.99,4.95,4.14,4.07,4.53,2.04,6.57,5.19,1.72,4.46,Medium
U00118,24,Female,Australia,Student,6.5,8.75,4.16,2.75,Entertainment,4.6,5.19,1.15,5.05,6.61,4.67,2.84,6.24,5.13,5.25,6.85,2.48,High
U00119,20,Female,India,Working,7.21,11.05,2.34,2.95,Entertainment,5.85,6.06,1.08,5.85,5.57,5.1,3.88,6.61,5.75,7.09,5.52,3.8,High
U00120,23,Male,Pakistan,Student,4.39,7.81,3.92,1.9,Entertainment,0.99,6.64,1.63,5.28,5.15,7.32,2.95,3.17,6.34,2.97,7.28,1.65,High
U00121,19,Non-binary,UK,Student,6.3,8.91,2.33,0.83,Educational,1.16,5.21,0,4.88,5.45,6.68,3.9,5.86,5.69,2.67,7.83,1.67,High
U00122,26,Non-binary,India,Student,4.34,7.5,2.62,0.48,Educational,4.95,7.22,2.01,4.07,4.72,3.23,5.78,7.26,8.48,8.3,4.44,6.24,Medium
U00123,22,Male,UK,Student,1.08,3.16,5.26,0,Educational,0.51,8.48,1,7.53,6.94,4.97,5.67,3.6,8.02,3.87,2.99,4.53,Medium
U00124,23,Male,Canada,Student,3.62,4.73,1.76,0.73,News,2.61,6.44,0.79,4.58,3.54,3.88,4.58,3.44,6.6,5.25,5.83,3.86,High
U00125,21,Female,Pakistan,Student,3.05,4.52,2.38,3.72,News,4.13,7.73,1.24,4.66,4.62,3.75,4.92,2.62,9.34,6.65,5.08,5.5,Medium
U00126,24,Non-binary,Canada,Student,1.75,5.02,2.21,1.2,Gaming,4.29,6.82,1.84,6.42,5.79,3.57,7.82,3.18,5.31,5.4,3.11,5.07,Medium
U00127,26,Male,UK,Both,4,6.7,4.93,1.61,Gaming,3.89,6.2,1.06,8.15,4.02,4.67,4.32,3.8,4.98,3.08,6.66,2.24,High
U00128,24,Male,Canada,Student,2.88,6.3,1.42,1.9,Lifestyle,4.37,6.52,0.61,5.61,2.44,3.3,7.35,3.65,6.88,4.76,2.73,5.33,Medium
U00129,18,Non-binary,Pakistan,Student,4.28,8.11,4.04,0.95,Lifestyle,0.95,6.23,2.56,3.14,5.16,4.47,5.37,5.13,7.71,4.75,4.82,4.39,Medium
U00130,18,Female,Australia,Both,5.1,8.45,1.06,2.79,Entertainment,2.14,6.82,0.62,4.31,6.29,6.44,3.53,3.99,7.62,3.96,8.37,2.57,High
U00131,26,Male,USA,Working,6.55,8.9,1.47,1.75,Lifestyle,4.42,6.8,0.25,7.86,4.94,3.19,6.47,6.09,6.31,8.38,5.07,5.68,Medium
U00132,26,Female,India,Student,3.95,7.36,2.05,1.23,Lifestyle,3.11,7.81,1.01,3.09,3.02,3.55,7.07,3.14,7.93,6.5,5.04,5.73,Medium
U00133,21,Non-binary,Australia,Student,2.32,4.93,2.59,0.4,News,1.66,5.84,1.49,4.55,4.99,5.39,5.2,2.41,6.34,3.3,6.69,2.93,High
U00134,26,Female,UK,Student,3.19,5.87,4.23,2.63,Educational,4.36,5.85,0.33,1.7,5.91,3.38,3.91,4.02,5.1,5.06,3.58,3.53,High
U00135,20,Female,Australia,Both,3.37,7.42,2.71,1.79,Lifestyle,2.15,7.68,1.39,2.55,4.82,5.32,4.97,4.2,8.49,5.71,6.43,4.43,Medium
U00136,24,Female,Canada,Student,7.45,11.02,3.62,1.52,Gaming,2.81,6.56,2.1,3.25,4.89,5.01,5.18,7.09,7.05,7.06,6.54,4.5,Medium
U00137,23,Male,Pakistan,Student,3.84,6.42,2.21,1.43,Gaming,2.98,6.35,2.57,6.52,3.13,3.29,7.45,4.45,8.02,5.55,3.94,5.8,Medium
U00138,25,Female,Australia,Working,4.76,6.95,3.08,2.19,Lifestyle,2.9,3.61,0,3.92,4.91,6.11,5.7,6.17,5.27,4.13,8.32,2.63,High
U00139,26,Male,Australia,Student,5.63,10.02,4.24,0.02,Entertainment,4.01,8.38,2.06,3.92,6.49,5.74,4.75,5.6,9.17,5.57,6.48,4.46,Medium
U00140,22,Non-binary,Pakistan,Working,6.06,9.02,3.76,0,Gaming,3.64,5.86,1.08,4.82,5.98,6.06,4.35,7.26,5.4,3.31,7.5,2.09,High
U00141,18,Male,Canada,Working,4.31,6.16,3.67,2.03,Lifestyle,1.09,6.84,1.64,9.06,6.14,5.78,4.83,3.28,8.25,4.75,6.92,3.83,High
U00142,20,Female,USA,Student,3.48,6.03,0.78,2.69,Gaming,2.59,5.87,0.62,4.16,4.15,4.93,6.86,4.12,6.34,3.36,5.8,3.73,High
U00143,25,Male,Australia,Student,3.26,4.51,2.26,0,Lifestyle,2.44,7.34,0.67,7.38,4.28,3.94,6.61,4.49,6.58,5.73,3.98,4.99,Medium
U00144,23,Female,India,Student,2.08,2.46,3.15,2.48,News,0.53,7.61,1.16,10.1,5.82,4.24,5.77,2.21,6.39,4.37,4.78,4,Medium
U00145,25,Male,UK,Working,5.33,9.29,2.74,3.44,Gaming,3.89,5.32,0.88,7.67,5.1,5.39,3.06,4.92,5.09,3.01,6.89,1.67,High
U00146,26,Female,Canada,Working,8.11,10.23,2.37,0,Lifestyle,6.12,8.41,0.68,5.05,4.93,2.64,6.43,6.64,8.02,8.17,5.36,6.21,Medium
U00147,21,Female,Canada,Working,6.03,7.81,1.96,0.51,News,5.2,4.72,0.47,5.25,2.79,4.33,5.83,5.18,3.62,6.86,5.76,3.75,High
U00148,18,Female,Australia,Student,4.03,6.47,4.18,1.55,Lifestyle,4.17,6.4,1.53,6.97,4.71,5.5,4.03,5.22,5.7,3.94,4.97,2.81,High
U00149,18,Female,India,Working,2.07,4.74,3.41,5.15,Lifestyle,0.32,5.3,1.09,7.76,4.73,4.96,5.71,3.59,4.95,4.1,4.12,3.41,High
U00150,21,Male,Pakistan,Student,3.17,5.57,4.05,1.06,Entertainment,2.7,7.29,0.02,4.13,3.72,3.36,7.35,4.31,7.8,5.93,3.68,5.85,Medium
U00151,24,Non-binary,Australia,Student,4.6,6.7,5.84,0.91,Lifestyle,5.04,8.42,0.57,4.14,6.33,6.65,3.31,4.32,7.92,6.51,4.23,4.1,Medium
U00152,19,Female,Australia,Student,3.49,6.45,0.77,1.96,Gaming,5.09,6.95,2.3,7.57,5.63,4.93,4.69,4.54,6.72,6.18,4.74,4.25,Medium
U00153,20,Female,Pakistan,Working,3.81,6.57,3.32,0.21,Educational,3.55,5.8,0.15,5.07,4.25,6.06,2.84,2.99,5.51,4.1,6.08,2.12,High
U00154,18,Female,UK,Working,4.58,9.27,2.72,1.5,Lifestyle,2.36,5.53,2.33,6.04,4.63,6.35,5.16,4.65,4.47,3.81,8.14,2.07,High
U00155,22,Female,Pakistan,Student,4.32,6.95,4.41,1.27,Gaming,2.54,8.87,0.96,7.51,6.46,4.11,5.6,5.19,9.47,7.4,4.85,6,Medium
