Record_ID,User_ID,App_Name,Feature_Used,Keyword,Content_Category,Type,Usage_Duration_Minutes,Distraction_Score,Location,Date,Time_of_Day
57,U0483,TikTok,Feed,Research paper,Education,Productive,51.5,2,Hostel,2025-09-02,Morning
58,U0140,Telegram,Notification,Random scrolling,Social Media,Distractive,67.5,5,Library,2025-09-07,Afternoon
59,U0471,TikTok,Story,Fashion trends,Commerce,Distractive,60.5,2,Hostel,2025-03-26,Night
60,U0094,TikTok,Feed,Startup news,Business,Productive,6,1,Hostel,2025-03-11,Night
61,U0386,Amazon,DM/Chat,Math tutorial,Education,Productive,27.8,2,Commute,2025-07-14,Evening
62,U0333,Udemy,Feed,Product review,Commerce,Distractive,67.7,2,Home,2025-06-29,Afternoon
63,U0123,Instagram,DM/Chat,Colleague message,Communication,Productive,12.8,1,Home,2025-11-15,Afternoon
64,U0311,Twitter/X,Course Page,Client proposal,Business,Productive,42.3,1,Commute,2025-03-27,Late Night
65,U0039,LinkedIn,Feed,Email,Communication,Productive,55.8,2,Hostel,2025-07-23,Afternoon
66,U0220,Google Classroom,Reels/Shorts,Current affairs,News,Productive,48,3,Home,2025-06-27,Late Night
67,U0326,Instagram,Explore,Influencer content,Social Media,Distractive,74.2,5,College,2025-08-10,Evening
68,U0397,Snapchat,Notification,Match highlights,Sports,Distractive,86.9,3,Cafe,2025-11-12,Late Night
69,U0125,Zoom,Story,Cricket update,Sports,Distractive,76.8,3,College,2025-05-23,Night
70,U0109,TikTok,Story,Football clip,Sports,Distractive,3.6,4,Commute,2025-04-04,Night
71,U0369,Zoom,Watch,Random scrolling,Social Media,Distractive,50.5,5,Library,2025-02-13,Afternoon
72,U0114,Udemy,Course Page,Fashion trends,Commerce,Distractive,40.9,2,Home,2025-02-17,Evening
73,U0170,Google Classroom,Story,Wishlist browsing,Commerce,Distractive,43.1,2,Commute,2025-08-06,Late Night
74,U0381,Google Classroom,Watch,DM chat casual,Social Media,Distractive,21.5,5,Library,2025-06-11,Morning
75,U0152,Udemy,Watch,Job search,Business,Productive,43.8,1,Cafe,2025-02-21,Afternoon
76,U0499,Google Classroom,Feed,Political news,News,Productive,42.8,1,Office,2025-05-21,Morning
77,U0241,Facebook,Course Page,Competitive exam tips,Education,Productive,7.1,2,Home,2025-10-21,Evening
78,U0206,Snapchat,Feed,Cricket update,Sports,Distractive,23.5,3,Outdoors,2025-02-28,Morning
79,U0061,YouTube,Search,Live score,Sports,Distractive,14.3,4,Cafe,2025-02-13,Afternoon
80,U0220,Slack,Explore,Flash deals,Commerce,Distractive,41.1,2,Outdoors,2025-06-02,Late Night
81,U0089,Twitter/X,DM/Chat,Celebrity,Entertainment,Distractive,24.6,4,College,2025-03-22,Afternoon
82,U0119,Telegram,Course Page,Email,Communication,Productive,41.7,1,Outdoors,2025-05-30,Morning
83,U0279,WhatsApp,DM/Chat,Dance videos,Entertainment,Distractive,83.2,5,Library,2025-08-06,Morning
84,U0384,Zoom,Search,Local news,News,Productive,5.2,1,Office,2025-06-07,Late Night
85,U0253,Gmail,Watch,Funny compilation,Entertainment,Distractive,63.3,4,Cafe,2025-09-14,Late Night
86,U0118,YouTube,Explore,Live score,Sports,Distractive,66.4,4,Cafe,2025-01-14,Morning
87,U0300,Snapchat,Course Page,Math tutorial,Education,Productive,31.6,1,Outdoors,2025-05-23,Afternoon
88,U0440,WhatsApp,Course Page,Wishlist browsing,Commerce,Distractive,32,3,Commute,2025-06-14,Morning
89,U0233,Udemy,Watch,Freelance work,Business,Productive,40.1,2,Hostel,2025-10-09,Morning
90,U0337,Amazon,Reels/Shorts,Voice message,Communication,Productive,58.2,2,Hostel,2025-09-21,Morning
91,U0390,Twitter/X,Notification,Cricket update,Sports,Distractive,33.2,2,Outdoors,2025-11-17,Night
92,U0499,Facebook,Watch,Research paper,Education,Productive,26.8,2,Outdoors,2025-03-04,Morning
93,U0431,Google Classroom,Notification,Local news,News,Productive,1.8,1,Hostel,2025-02-17,Afternoon
94,U0213,Facebook,Course Page,Project update,Communication,Productive,56,1,Cafe,2025-09-18,Evening
95,U0383,Gmail,Notification,Cricket update,Sports,Distractive,13.9,2,Library,2025-11-03,Late Night
96,U0372,Telegram,Story,Business news,Business,Productive,56.1,2,Cafe,2025-01-02,Evening
97,U0194,Gmail,Notification,TV show clip,Entertainment,Distractive,44.1,4,Commute,2025-10-10,Late Night
98,U0382,Coursera,Explore,Sports news,Sports,Distractive,21.8,2,Hostel,2025-01-23,Evening
99,U0170,Facebook,Course Page,Cricket update,Sports,Distractive,86.9,3,Office,2025-09-15,Late Night
100,U0039,Slack,Course Page,Project update,Communication,Productive,1.9,1,Office,2025-07-29,Afternoon
101,U0447,TikTok,Reels/Shorts,Sports news,Sports,Distractive,76.8,3,Hostel,2025-06-12,Night
102,U0390,Coursera,Watch,Excel tutorial,Education,Productive,59.8,1,College,2025-08-11,Morning
103,U0192,Google Classroom,Feed,Project update,Communication,Productive,3.7,1,Home,2025-05-31,Evening
104,U0041,Slack,Explore,Online sale,Commerce,Distractive,51.4,2,Office,2025-03-29,Afternoon
105,U0342,Udemy,Search,Flash deals,Commerce,Distractive,21.7,2,Cafe,2025-08-24,Evening
106,U0328,Snapchat,Reels/Shorts,AI fundamentals,Education,Productive,27.1,2,Commute,2025-10-28,Evening
107,U0122,Gmail,Watch,Wishlist browsing,Commerce,Distractive,18.7,3,Hostel,2025-09-05,Morning
108,U0290,Google Classroom,Watch,Flash deals,Commerce,Distractive,3,3,Hostel,2025-05-21,Morning
109,U0318,Google Classroom,DM/Chat,Excel tutorial,Education,Productive,36.8,2,Commute,2025-04-23,Afternoon
110,U0375,YouTube,Watch,Memes,Entertainment,Distractive,71.2,4,Home,2025-10-24,Evening
111,U0272,Amazon,Explore,Business news,Business,Productive,11.4,2,Office,2025-10-04,Evening
112,U0494,Udemy,Watch,Movie clips,Entertainment,Distractive,67.4,5,Commute,2025-02-28,Night
113,U0275,TikTok,Notification,Email,Communication,Productive,22.6,1,Hostel,2025-01-08,Evening
114,U0242,Zoom,Explore,Project update,Communication,Productive,49.5,2,Commute,2025-02-25,Afternoon
115,U0333,Coursera,Reels/Shorts,Excel tutorial,Education,Productive,38.5,2,Outdoors,2025-12-25,Evening
116,U0121,YouTube,Feed,Shopping,Commerce,Distractive,28.1,2,Outdoors,2025-03-01,Morning
117,U0427,Flipkart,Notification,Project management,Business,Productive,25.7,2,Office,2025-08-01,Morning
118,U0487,Zoom,Feed,Football clip,Sports,Distractive,62.4,3,Library,2025-08-16,Night
119,U0142,LinkedIn,Story,World news,News,Productive,33.1,2,Commute,2025-02-01,Night
120,U0125,WhatsApp,DM/Chat,Current affairs,News,Productive,38.9,2,Home,2025-01-26,Evening
121,U0397,WhatsApp,Notification,Startup news,Business,Productive,13.2,1,Library,2025-04-30,Evening
122,U0339,Zoom,Search,Startup news,Business,Productive,59.3,1,Cafe,2025-03-31,Morning
123,U0027,Flipkart,DM/Chat,Coding practice,Education,Productive,35.7,1,Home,2025-03-31,Evening
124,U0263,Slack,Reels/Shorts,LinkedIn post,Business,Productive,45,2,Outdoors,2025-08-18,Evening
125,U0434,YouTube,Notification,Project update,Communication,Productive,18.8,1,Home,2025-02-01,Night
126,U0076,Udemy,Course Page,Fashion trends,Commerce,Distractive,7.5,2,College,2025-06-14,Late Night
127,U0310,Amazon,Explore,Email,Communication,Productive,59.7,2,Cafe,2025-08-21,Late Night
128,U0424,Twitter/X,Explore,Shopping,Commerce,Distractive,41.2,2,Library,2025-07-31,Evening
129,U0352,LinkedIn,Story,Cricket update,Sports,Distractive,39,3,Cafe,2025-07-11,Afternoon
130,U0031,WhatsApp,Reels/Shorts,Live score,Sports,Distractive,39.4,2,Commute,2025-03-08,Late Night
131,U0160,Flipkart,Explore,Influencer content,Social Media,Distractive,78.3,5,Home,2025-05-28,Late Night
132,U0189,Facebook,Course Page,Influencer content,Social Media,Distractive,21,4,College,2025-06-29,Late Night
133,U0015,Telegram,Notification,Client call,Communication,Productive,58.5,1,Home,2025-11-08,Evening
134,U0036,Amazon,Story,Resume building,Business,Productive,1.4,2,Office,2025-10-17,Night
135,U0081,WhatsApp,Notification,LinkedIn post,Business,Productive,13.7,1,Hostel,2025-08-21,Evening
136,U0140,WhatsApp,Feed,Random scrolling,Social Media,Distractive,14.8,5,Home,2025-12-12,Morning
137,U0057,Gmail,Explore,Cricket update,Sports,Distractive,25.3,3,College,2025-06-26,Night
138,U0155,YouTube,DM/Chat,TV show clip,Entertainment,Distractive,36.2,5,Home,2025-01-04,Afternoon
139,U0090,Zoom,Watch,World news,News,Productive,20.4,1,Home,2025-09-12,Night
140,U0442,Slack,Notification,Project management,Business,Productive,50.2,1,Commute,2025-02-06,Night
141,U0364,Gmail,Reels/Shorts,Web development course,Education,Productive,51.9,1,Hostel,2025-10-21,Night
142,U0426,TikTok,Feed,Product review,Commerce,Distractive,87,2,Office,2025-11-13,Night
143,U0203,LinkedIn,DM/Chat,Influencer content,Social Media,Distractive,39.8,5,Hostel,2025-09-26,Morning
144,U0100,Amazon,Search,Trending challenge,Entertainment,Distractive,7.8,4,College,2025-09-29,Late Night
145,U0079,Coursera,Reels/Shorts,Follower count check,Social Media,Distractive,14,4,Library,2025-03-30,Late Night
146,U0078,Gmail,Course Page,Email,Communication,Productive,41.2,2,Commute,2025-11-18,Evening
147,U0038,Gmail,Watch,Live score,Sports,Distractive,71.9,3,Home,2025-06-30,Late Night
148,U0315,YouTube,Feed,Funny compilation,Entertainment,Distractive,33.8,5,Cafe,2025-02-09,Morning
149,U0491,Gmail,DM/Chat,Fashion trends,Commerce,Distractive,29.6,2,Outdoors,2025-09-14,Afternoon
150,U0363,Amazon,Reels/Shorts,AI fundamentals,Education,Productive,30.8,1,Office,2025-01-21,Afternoon
151,U0397,Slack,Search,Cricket update,Sports,Distractive,33.4,4,Cafe,2025-07-18,Night
152,U0371,WhatsApp,Story,Endless scrolling,Social Media,Distractive,9.4,5,Hostel,2025-05-26,Evening
153,U0363,Facebook,Story,Freelance work,Business,Productive,19.3,1,Hostel,2025-03-08,Late Night
154,U0261,Amazon,Search,Client call,Communication,Productive,40.5,2,College,2025-11-27,Night
155,U0116,Google Classroom,Search,Endless scrolling,Social Media,Distractive,85.7,5,Commute,2025-09-06,Afternoon
156,U0449,Google Classroom,Reels/Shorts,Networking,Business,Productive,31,1,Home,2025-12-05,Evening
157,U0211,Facebook,Search,Startup news,Business,Productive,11.7,2,Office,2025-08-13,Morning
158,U0463,Google Classroom,Course Page,Trending hashtags,Social Media,Distractive,21.8,5,Library,2025-06-08,Night
159,U0215,Gmail,Course Page,Political news,News,Productive,46.4,3,Hostel,2025-09-15,Late Night
160,U0365,Zoom,Feed,Job search,Business,Productive,38.8,1,Commute,2025-10-11,Morning
161,U0485,Snapchat,Watch,Client call,Communication,Productive,27.5,1,Office,2025-08-12,Morning
162,U0121,Flipkart,Feed,World news,News,Productive,25.5,2,Hostel,2025-09-15,Evening
163,U0406,Coursera,Feed,Shopping,Commerce,Distractive,29.4,3,College,2025-11-29,Evening
164,U0230,Google Classroom,Course Page,Networking,Business,Productive,42.1,1,Office,2025-12-28,Night
165,U0122,Zoom,DM/Chat,Exam preparation,Education,Productive,50.3,1,Hostel,2025-02-26,Evening
166,U0429,Coursera,Explore,Shorts,Entertainment,Distractive,57.9,4,Outdoors,2025-02-02,Morning
167,U0001,Instagram,Notification,Football clip,Sports,Distractive,52.2,4,Office,2025-05-30,Night
168,U0279,Snapchat,Reels/Shorts,Trending hashtags,Social Media,Distractive,47.6,5,Commute,2025-02-04,Late Night
169,U0404,YouTube,Explore,SQL tutorial,Education,Productive,58.9,2,Cafe,2025-01-09,Evening
170,U0417,LinkedIn,Story,Voice message,Communication,Productive,8.9,1,Commute,2025-10-07,Evening
171,U0151,Udemy,Search,Investment tips,Business,Productive,48.9,2,College,2025-08-23,Morning
172,U0130,YouTube,Story,Current affairs,News,Productive,56.1,1,Hostel,2025-10-06,Night
173,U0410,Flipkart,Feed,Research paper,Education,Productive,52.1,2,Commute,2025-05-20,Morning
174,U0189,Gmail,Explore,Like notifications,Social Media,Distractive,31.2,5,Office,2025-09-12,Night
175,U0165,WhatsApp,Explore,Reels,Entertainment,Distractive,54.6,5,Office,2025-10-07,Evening
176,U0180,Google Classroom,Watch,Group chat,Communication,Productive,27.3,2,Hostel,2025-03-27,Night
177,U0187,Flipkart,Explore,Live score,Sports,Distractive,25.4,4,Home,2025-02-08,Night
178,U0186,Gmail,Feed,Stock market,Business,Productive,8.4,1,Library,2025-11-27,Evening
179,U0294,Facebook,Course Page,Flash deals,Commerce,Distractive,85.4,2,Commute,2025-08-16,Morning
180,U0377,TikTok,Story,Market analysis,Business,Productive,39.3,2,Library,2025-02-28,Morning
181,U0147,LinkedIn,Watch,Client proposal,Business,Productive,46.7,2,Outdoors,2025-04-20,Late Night
182,U0342,Facebook,Reels/Shorts,Match highlights,Sports,Distractive,41.2,2,Outdoors,2025-02-14,Evening
183,U0115,Google Classroom,Search,Influencer content,Social Media,Distractive,64.4,5,Office,2025-07-05,Late Night
184,U0067,Coursera,Course Page,Team meeting,Communication,Productive,2.6,1,Commute,2025-08-28,Late Night
185,U0065,TikTok,Course Page,Group chat,Communication,Productive,32,2,Hostel,2025-10-22,Morning
186,U0258,Gmail,Notification,Influencer content,Social Media,Distractive,31.7,5,Office,2025-03-08,Night
187,U0459,Google Classroom,Search,Data Science course,Education,Productive,10.6,1,Library,2025-06-27,Late Night
188,U0048,Twitter/X,Notification,Reels,Entertainment,Distractive,25.4,5,Cafe,2025-11-11,Late Night
189,U0024,Snapchat,Story,Startup news,Business,Productive,50.7,1,Home,2025-01-15,Morning
190,U0248,Instagram,Course Page,Comedy videos,Entertainment,Distractive,80.1,5,Cafe,2025-11-25,Evening
191,U0213,TikTok,Watch,World news,News,Productive,27.8,3,Home,2025-03-22,Night
192,U0067,Amazon,Search,Cricket update,Sports,Distractive,28.8,2,Commute,2025-06-26,Night
193,U0050,Coursera,Course Page,Influencer content,Social Media,Distractive,11.9,5,Outdoors,2025-05-07,Afternoon
194,U0370,Telegram,DM/Chat,History lecture,Education,Productive,57.8,2,Office,2025-06-17,Late Night
195,U0047,Udemy,Notification,Trending hashtags,Social Media,Distractive,42.5,4,Cafe,2025-09-12,Morning
196,U0254,Coursera,DM/Chat,Flash deals,Commerce,Distractive,52.9,3,Home,2025-01-26,Evening
197,U0188,Instagram,Reels/Shorts,Sports news,Sports,Distractive,39.4,4,Cafe,2025-07-07,Night
198,U0231,Twitter/X,Story,SQL tutorial,Education,Productive,33.6,1,College,2025-07-17,Late Night
199,U0387,LinkedIn,Explore,Shorts,Entertainment,Distractive,34.2,4,Commute,2025-10-13,Evening
200,U0266,Slack,Feed,Job search,Business,Productive,3.7,2,Office,2025-06-20,Night
201,U0316,Slack,Search,Match highlights,Sports,Distractive,30.2,4,Commute,2025-03-25,Night
202,U0214,Google Classroom,Course Page,Trending challenge,Entertainment,Distractive,73.6,5,Commute,2025-06-19,Morning
203,U0323,Zoom,DM/Chat,Gaming,Entertainment,Distractive,65.2,5,Outdoors,2025-03-29,Late Night
204,U0078,YouTube,Reels/Shorts,Online sale,Commerce,Distractive,18,2,Outdoors,2025-06-10,Night
205,U0266,Telegram,Notification,Wishlist browsing,Commerce,Distractive,70,2,Outdoors,2025-02-01,Afternoon
206,U0176,Udemy,Notification,Weather update,News,Productive,23.2,2,Office,2025-08-24,Late Night
207,U0395,Twitter/X,DM/Chat,Random scrolling,Social Media,Distractive,25.8,5,Cafe,2025-04-26,Evening
208,U0294,Amazon,Course Page,Comedy videos,Entertainment,Distractive,32,5,Cafe,2025-05-28,Morning
209,U0336,Facebook,Watch,Fashion trends,Commerce,Distractive,4.7,3,College,2025-06-27,Night
210,U0316,Twitter/X,Notification,TV show clip,Entertainment,Distractive,25.1,4,Cafe,2025-03-12,Morning
211,U0170,Slack,DM/Chat,Breaking news,News,Productive,38.6,1,Home,2025-02-21,Night
212,U0245,Facebook,Feed,Live score,Sports,Distractive,86.8,4,Office,2025-07-28,Night
213,U0119,Amazon,Watch,World news,News,Productive,39.1,2,College,2025-11-30,Late Night
214,U0480,Snapchat,Feed,Online certification,Education,Productive,59.8,2,Hostel,2025-09-11,Afternoon
215,U0329,Google Classroom,Reels/Shorts,Celebrity,Entertainment,Distractive,83.6,4,Commute,2025-05-26,Night
216,U0375,Gmail,Watch,Match highlights,Sports,Distractive,18.2,4,College,2025-06-19,Afternoon
217,U0090,Snapchat,Feed,Sports news,Sports,Distractive,66.6,4,Cafe,2025-10-18,Afternoon
218,U0245,Slack,Story,Discount coupons,Commerce,Distractive,8.7,3,College,2025-04-05,Afternoon
219,U0299,Zoom,Explore,Trending hashtags,Social Media,Distractive,22,4,Cafe,2025-06-18,Evening
220,U0208,Coursera,Feed,Math tutorial,Education,Productive,40.4,2,Outdoors,2025-06-07,Afternoon
221,U0233,Flipkart,DM/Chat,Shorts,Entertainment,Distractive,20.5,5,Office,2025-09-02,Afternoon
222,U0271,Twitter/X,DM/Chat,Like notifications,Social Media,Distractive,61.6,5,College,2025-09-27,Night
223,U0077,YouTube,Notification,Influencer content,Social Media,Distractive,81.4,4,Library,2025-10-21,Late Night
224,U0229,LinkedIn,DM/Chat,Freelance work,Business,Productive,43.3,2,Outdoors,2025-02-16,Late Night
225,U0345,Slack,Explore,AI fundamentals,Education,Productive,28,1,Home,2025-10-14,Night
226,U0177,Zoom,Feed,Gaming,Entertainment,Distractive,67.4,5,College,2025-01-24,Night
227,U0393,WhatsApp,Course Page,Conference call,Communication,Productive,2.9,1,Hostel,2025-04-03,Afternoon
228,U0061,Gmail,Explore,Product review,Commerce,Distractive,34.4,3,Office,2025-12-01,Evening
229,U0153,Slack,Search,Market analysis,Business,Productive,43.9,2,Library,2025-01-02,Morning
230,U0097,TikTok,DM/Chat,Football clip,Sports,Distractive,23,3,Commute,2025-03-21,Evening
231,U0229,Instagram,DM/Chat,Video call,Communication,Productive,13.2,2,College,2025-11-01,Morning
232,U0258,TikTok,Course Page,Language learning,Education,Productive,14.8,1,Library,2025-01-29,Afternoon
233,U0114,Amazon,DM/Chat,Prank videos,Entertainment,Distractive,27.9,5,Office,2025-12-05,Late Night
234,U0285,YouTube,Notification,Product review,Commerce,Distractive,85.4,3,Office,2025-11-17,Night
235,U0154,TikTok,Notification,Live score,Sports,Distractive,29.4,3,Hostel,2025-07-29,Afternoon
236,U0288,Coursera,DM/Chat,Online sale,Commerce,Distractive,27.8,3,Office,2025-08-26,Morning
237,U0473,TikTok,DM/Chat,Fashion trends,Commerce,Distractive,23.7,2,Commute,2025-11-28,Morning
238,U0412,Twitter/X,Feed,Sports news,Sports,Distractive,24.9,2,Home,2025-02-07,Afternoon
239,U0493,Amazon,Watch,Technology news,News,Productive,57.5,1,Home,2025-04-19,Afternoon
240,U0239,Twitter/X,Explore,Project update,Communication,Productive,55,1,Commute,2025-05-25,Night
241,U0390,Flipkart,Notification,Random scrolling,Social Media,Distractive,79.6,5,Outdoors,2025-02-20,Night
242,U0134,Amazon,Explore,Trending hashtags,Social Media,Distractive,5.1,5,Library,2025-03-16,Morning
243,U0336,Twitter/X,Story,Product review,Commerce,Distractive,21.5,2,Library,2025-09-13,Late Night
244,U0369,Udemy,Course Page,Random scrolling,Social Media,Distractive,16,5,Commute,2025-03-28,Afternoon
245,U0392,YouTube,Notification,Match highlights,Sports,Distractive,4,4,College,2025-12-09,Morning
246,U0234,Coursera,Reels/Shorts,Web development course,Education,Productive,42.7,1,Home,2025-04-22,Late Night
247,U0272,Udemy,Feed,Endless scrolling,Social Media,Distractive,1.6,5,Hostel,2025-01-07,Morning
248,U0269,Slack,Explore,Dance videos,Entertainment,Distractive,72.7,4,Office,2025-02-24,Morning
249,U0192,Slack,Watch,Job search,Business,Productive,49.1,1,Cafe,2025-07-23,Morning
250,U0048,Coursera,Watch,Fashion trends,Commerce,Distractive,61.9,2,College,2025-12-01,Morning
251,U0433,Udemy,Feed,Fashion trends,Commerce,Distractive,57.7,3,Office,2025-02-12,Night
252,U0244,LinkedIn,Notification,Wishlist browsing,Commerce,Distractive,82.8,3,Library,2025-04-19,Late Night
253,U0009,Zoom,Notification,Celebrity,Entertainment,Distractive,51.2,4,Home,2025-04-02,Evening
254,U0347,TikTok,Reels/Shorts,Weather update,News,Productive,18.7,1,Library,2025-10-18,Night
255,U0224,WhatsApp,Notification,Like notifications,Social Media,Distractive,67.3,4,Commute,2025-01-28,Morning
256,U0402,Amazon,Explore,World news,News,Productive,58.2,1,Commute,2025-01-16,Evening
257,U0339,Flipkart,Notification,Cricket update,Sports,Distractive,84.8,2,Hostel,2025-04-06,Late Night
258,U0379,Coursera,Reels/Shorts,Shopping,Commerce,Distractive,8.3,3,Office,2025-07-14,Afternoon
259,U0390,LinkedIn,Reels/Shorts,Product review,Commerce,Distractive,1.5,3,Cafe,2025-08-16,Evening
260,U0046,WhatsApp,Search,Shorts,Entertainment,Distractive,39.4,4,Hostel,2025-02-22,Morning
261,U0464,TikTok,Feed,Influencer content,Social Media,Distractive,27,5,Hostel,2025-02-13,Late Night
262,U0253,Snapchat,Explore,Weather update,News,Productive,11,3,Cafe,2025-06-04,Evening
263,U0129,Telegram,Watch,Business news,Business,Productive,25.8,1,Outdoors,2025-02-09,Evening
264,U0486,Udemy,DM/Chat,Local news,News,Productive,28,3,Office,2025-06-05,Morning
265,U0309,Amazon,Course Page,Product review,Commerce,Distractive,30.8,3,Office,2025-06-03,Evening
266,U0496,Snapchat,Explore,Technology news,News,Productive,58.2,2,Cafe,2025-12-22,Night
267,U0093,Zoom,Explore,Political news,News,Productive,22.5,2,Library,2025-10-31,Late Night
268,U0072,Gmail,Watch,AI fundamentals,Education,Productive,50,1,College,2025-07-29,Night
